Date,Open,High,Low,Close
7/15/2012,1590.85,1592.25,1587.95,1590.45
7/13/2012,1568.45,1596.25,1566.85,1588.85
7/12/2012,1576.55,1576.55,1554.15,1567.85
7/11/2012,1570.95,1582.75,1566.45,1576.35
7/10/2012,1587.35,1601,1564.15,1570.85
7/9/2012,1578.15,1592.75,1577.75,1587.45
7/8/2012,1581.15,1581.55,1576.55,1578.55
7/6/2012,1607.35,1609.8,1576.4,1583.55
7/5/2012,1615.45,1623.75,1597.3,1606.85
7/4/2012,1619.85,1619.85,1611.75,1615.55
7/3/2012,1595.55,1624.8,1595.25,1620.05
7/2/2012,1598.85,1602.55,1587.35,1595.25
7/1/2012,1597.55,1599.95,1597.35,1598.95
6/29/2012,1553.05,1607.2,1551.05,1597.55
6/28/2012,1574.75,1579.15,1548.1,1553.15
6/27/2012,1571.75,1582.8,1563.1,1574.65
6/26/2012,1584.95,1586.75,1567.85,1571.65
6/25/2012,1569.65,1588.1,1566.15,1584.75
6/24/2012,1571.85,1573.15,1567.65,1569.55
6/22/2012,1568.35,1573.35,1558.05,1572.35
6/21/2012,1603.85,1604.25,1564.2,1568.45
6/20/2012,1620.55,1621.95,1590.4,1603.95
6/19/2012,1627.75,1633.25,1617.2,1620.65
6/18/2012,1618.65,1629.8,1613.25,1627.85
6/17/2012,1629.05,1630.05,1608.65,1618.45
6/15/2012,1621.05,1633.35,1619.9,1627.15
6/14/2012,1617.15,1628,1609.65,1621.15
6/13/2012,1608.25,1624.8,1606.05,1617.35
6/12/2012,1590.55,1617.7,1586.25,1607.95
6/11/2012,1601.85,1605.05,1581.95,1591.25
6/10/2012,1603.25,1608.15,1599.45,1602.35
6/8/2012,1591.85,1595.15,1558.15,1593.25
6/7/2012,1622.45,1629.15,1579.4,1591.95
6/6/2012,1618.15,1641.1,1613.75,1622.75
6/5/2012,1619.65,1623.55,1612.65,1618.25
6/4/2012,1616.95,1628.25,1608.95,1619.75
6/3/2012,1625.35,1627.15,1615.95,1616.65
6/1/2012,1560.75,1630.05,1545.05,1624.35
5/31/2012,1564.25,1572.85,1552.45,1560.85
5/30/2012,1552.75,1569.35,1531.05,1564.35
5/29/2012,1574.6,1582.5,1548.2,1552.85
5/28/2012,1574.05,1583.65,1572.55,1574.9
5/27/2012,1574.15,1576.75,1571.35,1574.25
5/25/2012,1556.35,1574,1551.25,1572.55
5/24/2012,1558.45,1577.9,1551.5,1556.45
5/23/2012,1567.55,1567.75,1533.6,1558.35
5/22/2012,1594.65,1594.65,1561.55,1567.35
5/21/2012,1594.55,1599.25,1585,1594.55
5/20/2012,1590.55,1594.55,1590.55,1594.45
5/18/2012,1575.55,1597.65,1568.15,1593.15
5/17/2012,1542.85,1579.9,1542.85,1575.25
5/16/2012,1542.95,1552.15,1527.15,1542.95
5/15/2012,1558.35,1564.1,1541.55,1543.05
5/14/2012,1580.85,1585.65,1556.15,1558.55
5/13/2012,1585.25,1585.25,1578.25,1580.65
5/11/2012,1593.25,1593.25,1573.75,1579.15
5/10/2012,1589.15,1601.75,1585.85,1593.65
5/9/2012,1603.15,1604.55,1579.75,1589.25
5/8/2012,1637.75,1638.65,1595.55,1603.45
5/7/2012,1638.95,1642.55,1632.15,1637.65
5/6/2012,1638.15,1640.95,1635.85,1638.85
5/4/2012,1635.85,1647.45,1626.45,1642.25
5/3/2012,1652.25,1653.55,1631.15,1635.95
5/2/2012,1662.25,1662.85,1646.35,1652.15
5/1/2012,1667.15,1671.55,1657.25,1662.35
4/30/2012,1664.85,1667.35,1646.65,1667.25
4/29/2012,1662.35,1664.95,1662.35,1664.95
4/27/2012,1656.55,1667.65,1650.45,1662.65
4/26/2012,1643.35,1660.85,1642.45,1656.65
4/25/2012,1641.65,1646.35,1624.85,1643.25
4/24/2012,1636.25,1649.35,1633.95,1641.75
4/23/2012,1642.25,1642.95,1622.75,1636.35
