Date,Open,High,Low,Close
6/30/2013,99.17,99.55,99.17,99.45
6/28/2013,98.5,99.45,98.47,99.17
6/27/2013,97.64,98.61,97.56,98.5
6/26/2013,98.17,98.17,97.25,97.66
6/25/2013,97.62,98.23,96.97,98.17
6/24/2013,98.39,98.7,97.22,97.62
6/23/2013,97.84,98.5,97.84,98.39
6/21/2013,97.03,98.14,96.92,97.84
6/20/2013,96.58,98.28,96.2,97.02
6/19/2013,95.59,97.02,94.83,96.58
6/18/2013,94.56,95.77,94.53,95.58
6/17/2013,94.33,95.22,94.24,94.58
6/16/2013,94.17,94.44,94.12,94.33
6/14/2013,95.57,95.57,93.99,94.17
6/13/2013,95.48,95.81,93.8,95.58
6/12/2013,96.25,97.02,95.14,95.48
6/11/2013,98.91,98.98,96.47,96.25
6/10/2013,98.36,99.28,97.71,98.9
6/9/2013,97.53,98.42,97.53,98.36
6/7/2013,97.36,97.78,95,97.53
6/6/2013,99.02,99.47,95.91,97.36
6/5/2013,100.28,100.47,98.86,99.02
6/4/2013,99.73,100.42,99.33,100.28
6/3/2013,100.5,100.72,98.86,99.73
6/2/2013,100.51,100.64,100.39,100.5
5/31/2013,101.11,101.28,100.22,100.42
5/30/2013,100.95,101.81,100.47,101.11
5/29/2013,102.53,102.53,100.72,100.94
5/28/2013,101.11,102.52,101.11,102.52
5/27/2013,101.11,101.23,100.75,101.11
5/26/2013,101.28,101.3,100.97,101.09
5/24/2013,102.42,102.58,100.67,101.28
5/23/2013,103.19,103.56,100.83,102.42
5/22/2013,102.44,103.73,102.36,103.19
5/21/2013,102.16,102.89,102.16,102.44
5/20/2013,102.73,102.91,102.08,102.16
5/19/2013,103.19,103.19,102.07,102.73
5/17/2013,102.14,103.31,102.11,103.19
5/16/2013,102.22,102.69,101.83,102.14
5/15/2013,102.19,102.77,101.86,102.25
5/14/2013,101.68,102.44,101.27,102.19
5/13/2013,101.94,102.05,101.52,101.68
5/12/2013,101.62,102.16,101.62,101.94
5/10/2013,100.83,101.98,100.73,101.62
5/9/2013,98.89,100.86,98.65,100.83
5/8/2013,98.78,99.16,98.58,98.89
5/7/2013,99.36,99.39,98.66,98.8
5/6/2013,99.11,99.45,99.06,99.37
5/5/2013,99.03,99.2,99.03,99.11
5/3/2013,97.94,99.27,97.94,99.03
5/2/2013,97.14,98.39,97.09,97.94
5/1/2013,97.28,97.67,97.03,97.14
4/30/2013,97.89,98.12,97.02,97.28
4/29/2013,97.86,98.2,97.36,97.89
4/28/2013,98.08,98.08,97.69,97.86
4/26/2013,99.34,99.38,97.56,98.08
4/25/2013,99.43,99.56,98.99,99.34
4/24/2013,99.66,99.77,99.19,99.43
4/23/2013,99.2,99.71,98.48,99.66
4/22/2013,99.81,99.89,98.98,99.19
4/21/2013,99.53,99.89,99.53,99.82
4/19/2013,98.21,99.69,98.11,99.53
4/18/2013,98.06,98.53,97.64,98.22
4/17/2013,97.62,98.44,97.22,98.07
4/16/2013,96.81,98.16,96.59,97.62
4/15/2013,98.44,98.72,95.83,96.81
4/14/2013,98.37,98.59,98.19,98.44
4/12/2013,99.64,99.73,98.1,98.37
4/11/2013,99.68,99.94,99.11,99.64
4/10/2013,98.98,99.88,98.92,99.69
4/9/2013,99.33,99.5,98.59,98.98
4/8/2013,98.8,99.66,98.31,99.33
4/7/2013,97.53,98.85,97.53,98.8
4/5/2013,96.42,97.83,95.78,97.53
4/4/2013,92.86,96.47,92.73,96.43
4/3/2013,93.33,93.69,92.72,92.86
4/2/2013,93.18,93.56,92.57,93.35
4/1/2013,94.28,94.36,93.06,93.19
3/31/2013,94.22,94.38,94.22,94.28
3/29/2013,94.18,94.28,93.95,94.22
3/28/2013,94.33,94.44,93.88,94.18
3/27/2013,94.64,94.91,94.03,94.32
3/26/2013,93.94,94.7,93.88,94.64
3/25/2013,94.84,94.96,93.54,93.94
3/24/2013,94.48,94.91,94.37,94.84
3/22/2013,94.92,95.06,94.2,94.48
3/21/2013,95.94,96.03,94.57,94.92
3/20/2013,95.06,96.14,94.83,95.95
3/19/2013,95.36,95.75,94.73,95.06
3/18/2013,94.9,95.6,94.31,95.36
3/17/2013,95.31,95.31,94.09,94.9
3/15/2013,95.94,96.28,95.08,95.31
3/14/2013,96.03,96.59,95.69,95.94
3/13/2013,95.83,96.25,95.45,96.03
3/12/2013,96.64,96.69,95.64,95.84
3/11/2013,96.19,96.72,95.97,96.64
3/10/2013,96.04,96.25,95.94,96.19
3/8/2013,94.9,96.56,94.84,96.04
3/7/2013,93.93,95.09,93.8,94.9
3/6/2013,93.29,94.11,93.01,93.94
3/5/2013,93.42,93.53,92.92,93.29
3/4/2013,93.56,93.72,93.17,93.42
3/3/2013,93.54,93.66,93.36,93.56
3/1/2013,92.58,93.69,92.44,93.54
2/28/2013,92.32,92.85,92.02,92.58
2/27/2013,92.11,92.44,91.14,92.33
2/26/2013,92.36,92.75,91.14,92.11
2/25/2013,94.23,94.31,90.91,92.36
2/24/2013,93.36,94.5,93.36,94.23
2/22/2013,93.15,93.51,92.93,93.36
2/21/2013,93.67,93.86,92.78,93.15
2/20/2013,93.71,94.03,93.14,93.67
2/19/2013,93.61,93.92,93.3,93.71
2/18/2013,93.77,94.22,93.57,93.61
2/17/2013,93.72,93.95,93.72,93.77
2/15/2013,92.95,93.84,92.23,93.5
2/14/2013,93.24,93.71,92.68,92.95
2/13/2013,93.32,93.78,92.83,93.24
